"retweet_number","count"
0,149411
1,13431
2,3674
3,1727
4,1049
5,647
6,464
7,330
8,203
9,183
10,154
11,92
12,105
13,107
14,73
15,68
16,48
17,65
18,42
19,49
20,21
21,32
22,42
23,25
24,19
25,24
26,25
27,27
28,9
29,24
30,14
31,24
32,9
33,14
34,22
35,11
36,13
37,15
38,7
39,5
40,14
41,8
42,13
43,4
44,12
45,11
46,6
47,12
49,3
50,6
51,5
52,11
53,3
54,3
55,3
56,1
57,14
58,4
59,3
60,6
61,6
62,5
63,1
67,2
68,7
69,1
70,3
71,2
72,2
73,1
75,3
80,3
82,6
84,3
89,1
90,4
91,1
92,6
93,4
95,1
96,2
97,2
98,7
102,3
103,3
104,6
109,6
112,1
113,3
114,5
118,6
119,3
120,4
124,3
125,3
127,4
130,3
140,3
142,3
144,3
147,1
148,2
150,3
151,3
155,3
157,3
161,3
165,3
171,3
174,4
182,1
183,3
190,1
193,1
194,2
197,1
198,1
199,2
200,1
201,1
205,1
206,2
215,1
216,2
219,1
220,2
221,1
222,2
223,3
230,1
231,2
232,1
246,2
247,4
274,2
275,4
282,1
283,1
285,1
294,1
295,2
298,3
301,3
304,1
314,2
315,1
325,2
363,3
406,1
407,1
408,1
416,1
417,1
420,1
446,3
515,2
517,1
558,1
559,1
560,1
565,3
614,1
615,2
634,2
648,3
671,1
672,1
675,1
1200,1
1201,2
1205,1
1270,1
1272,2
1273,1
1374,2
1379,1
1380,2
1752,2
4221,1
4227,1
4228,1
